0  0  0.590263 0.310207  0.00595779  -0.133593  10
0  1  0.618859 0.317071  0.00308498  -0.148959  2
0  2  0.641943 0.335342  -0.0131433  -0.154029  6
0  3  0.650053 0.339766  -0.00934594  -0.154476  2
0  4  0.613392 0.35028  -0.028275  -0.13536  1
0  5  0 0  0  0  7
0  6  0.620618 0.38742  -0.070777  -0.113557  3
0  7  0.368131 0.40186  -0.0901423  -0.157787  3
0  8  -0.0418541 0.40966  -0.162437  -0.19952  4
0  9  0.838569 0.45911  -0.0752811  -0.0756573  0
0  10  0.781724 0.459736  -0.0834247  -0.0802833  4
0  11  0.585201 0.4619  -0.111578  -0.0962761  0
0  12  0 0  0  0  0
0  13  0 0  0  0  3
0  14  0.42206 0.51516  -0.39209  0.0227389  0
0  15  0.42206 0.51516  -0.39209  0.0227389  0
0  16  0.370842 0.48556  -0.40506  0.302346  1
0  17  0.370842 0.48556  -0.40506  0.302346  2
0  18  0 0  0  0  2
0  19  0.179185 0.44191  -0.0949966  0.549276  1
0  20  0.111432 0.432189  -0.091816  0.562997  1
0  21  -0.0761276 0.381674  0.00668782  0.657676  2
0  22  -0.0749748 0.376847  0.0222197  0.654728  3
0  23  -0.239091 0.35501  0.0025013  0.592956  2
1  0  0.600913 0.324335  0.0124428  -0.130901  3
1  1  0.61047 0.323911  0.00896347  -0.13841  2
1  2  0.647742 0.351448  -0.0117885  -0.142113  1
1  3  0.631267 0.354753  -0.0207501  -0.141442  2
1  4  0.650075 0.370938  -0.0251944  -0.138204  1
1  5  0.706505 0.399795  -0.0336132  -0.126278  0
1  6  0.638069 0.38692  -0.0613619  -0.113428  1
1  7  0.621883 0.399074  -0.0790705  -0.111512  3
1  8  0.341653 0.429141  -0.11074  -0.139024  1
1  9  0.87094 0.491255  -0.0433747  -0.067351  0
1  10  0.75391 0.479801  -0.0807353  -0.0836344  1
1  11  0.585201 0.4619  -0.111578  -0.0962761  1
1  12  0 0  0  0  0
1  13  0 0  0  0  0
1  14  0.42206 0.51516  -0.39209  0.0227389  0
1  15  0.442083 0.519254  -0.383341  0.0404441  1
1  16  0.544107 0.557779  -0.267064  0.29575  0
1  17  0.431144 0.510983  -0.357099  0.301326  2
1  18  -0.377136 0.500782  -0.204018  0.608243  0
1  19  -0.226656 0.490094  -0.166924  0.590762  0
1  20  -0.00248208 0.41681  -0.0426635  0.590118  1
1  21  -0.0255973 0.406095  -0.0119537  0.614357  1
1  22  -0.105993 0.373752  0.0263878  0.652893  2
1  23  -0.223611 0.362257  0.034266  0.590005  1
2  0  0.605641 0.328226  0.0173102  -0.134085  7
2  1  0.601121 0.328613  0.0105427  -0.1306  3
2  2  0.635547 0.357145  -0.0105421  -0.135747  1
2  3  0.606936 0.386549  -0.01209  -0.139136  2
2  4  0.670539 0.382523  -0.0152127  -0.139535  2
2  5  0.711332 0.401332  -0.02617  -0.127155  2
2  6  0.718739 0.417073  -0.0389338  -0.115328  1
2  7  0.883257 0.47586  -0.0333163  -0.0525649  0
2  8  0.882571 0.457432  -0.0380585  -0.0531147  1
2  9  0.859126 0.480919  -0.0372045  -0.0665218  2
2  10  0.349072 0.556398  -0.135999  -0.18618  1
2  11  0 0  0  0  0
2  12  0 0  0  0  0
2  13  0 0  0  0  0
2  14  0 0  0  0  0
2  15  0.756244 0.664277  -0.222006  0.204904  0
2  16  0.68047 0.614046  -0.248351  0.227517  1
2  17  0.540052 0.578514  -0.216329  0.321084  2
2  18  -0.30569 0.545792  -0.207065  0.571402  0
2  19  -0.526095 0.486382  -0.20856  0.646661  2
2  20  0.207023 0.447644  0.0320025  0.546071  1
2  21  0.166171 0.442497  0.037059  0.558242  2
2  22  -0.068418 0.386895  0.215688  0.553349  0
2  23  -0.152292 0.378439  0.116481  0.565074  2
3  0  0.594871 0.343946  0.0244199  -0.124832  5
3  1  0.622609 0.353826  0.0249917  -0.130066  1
3  2  0.671844 0.374384  0.018848  -0.138944  0
3  3  0.637206 0.394302  -0.00193969  -0.134708  1
3  4  0.708035 0.409702  -0.000201204  -0.127093  2
3  5  0.681935 0.412122  -0.0207518  -0.126838  2
3  6  0.714279 0.462304  -0.0277756  -0.103094  1
3  7  0.902704 0.518726  -0.0192068  -0.0418316  0
3  8  0.868015 0.522168  -0.0239805  -0.0499612  1
3  9  0.333512 0.55717  -0.138697  -0.189518  0
3  10  0.333512 0.55717  -0.138697  -0.189518  1
3  11  0 0  0  0  0
3  12  0.931483 0.7206  -0.0597983  -0.0344854  0
3  13  0.96814 0.89731  -0.145256  0.0466144  0
3  14  0.967387 0.89087  -0.14844  0.0528291  0
3  15  0.939828 0.838282  -0.165804  0.103709  0
3  16  0.91301 0.80678  -0.170761  0.145744  1
3  17  0.834446 0.744432  -0.0624239  0.283372  0
3  18  0.729052 0.685556  -0.0360958  0.327862  1
3  19  0 0  0  0  0
3  20  0.30457 0.464344  0.0937934  0.516375  0
3  21  0.317342 0.471156  0.108725  0.495973  2
3  22  0.347302 0.473016  0.229279  0.438178  0
3  23  0.0160487 0.39703  0.237469  0.493316  1
4  0  0.660518 0.37325  0.0562972  -0.132769  8
4  1  0.685744 0.377049  0.0459162  -0.133272  1
4  2  0.674241 0.382431  0.0285872  -0.138819  3
4  3  0.657281 0.42154  0.017986  -0.130759  0
4  4  0.615451 0.4231  0.0148143  -0.149024  3
4  5  0.67821 0.473223  0.00609481  -0.127003  2
4  6  0.733521 0.480958  -0.0154805  -0.100486  1
4  7  0.880777 0.531708  -0.0189692  -0.0447206  1
4  8  0.786744 0.542403  -0.0367692  -0.0870929  2
4  9  0.556636 0.607984  -0.0775493  -0.207926  0
4  10  0 0  0  0  0
4  11  0 0  0  0  0
4  12  0.931483 0.7206  -0.0597983  -0.0344854  1
4  13  0.96814 0.89731  -0.145256  0.0466144  0
4  14  0.966455 0.882908  -0.152376  0.0605121  1
4  15  0.957671 0.873744  -0.161099  0.110962  1
4  16  0.949273 0.878937  -0.163772  0.139507  2
4  17  0.896366 0.755703  -0.0664087  0.262556  1
4  18  0.913882 0.789272  -0.00443467  0.288041  2
4  19  0.875842 0.774938  0.0829207  0.274502  0
4  20  0.460631 0.60371  0.18961  0.415953  0
4  21  0.386201 0.490389  0.255977  0.406347  0
4  22  0.395614 0.494694  0.262479  0.395504  2
4  23  0.241073 0.450736  0.371575  0.359979  0
5  0  0.651679 0.374255  0.0517249  -0.131995  5
5  1  0.665815 0.38065  0.0483028  -0.1322  5
5  2  0.695729 0.405629  0.0377278  -0.125606  2
5  3  0.739353 0.454123  0.0278355  -0.112873  1
5  4  0.705051 0.454439  0.0188343  -0.121439  2
5  5  0.838348 0.486365  -0.00503139  -0.0652796  3
5  6  0.842603 0.503378  -0.0256621  -0.0552204  3
5  7  0.859411 0.618797  -0.002995  -0.055417  1
5  8  0.851801 0.605058  -0.00944055  -0.0619307  0
5  9  0.729462 0.602472  -0.0398172  -0.125866  2
5  10  0 0  0  0  0
5  11  1.01426 0.95155  -0.0298409  0.0114562  0
5  12  1.01426 0.95155  -0.0298409  0.0114562  0
5  13  0 0  0  0  0
5  14  1.16679 1.34658  -0.178344  0.139011  0
5  15  1.10807 1.14711  -0.095094  0.231315  0
5  16  1.08611 1.14742  -0.123565  0.201067  4
5  17  0.959061 0.96596  0.135713  0.243698  0
5  18  0.933261 0.861054  0.113472  0.247877  1
5  19  0.804753 0.750615  0.128138  0.282905  1
5  20  0.460631 0.60371  0.18961  0.415953  1
5  21  0.428183 0.51035  0.275585  0.371814  0
5  22  0.385493 0.477708  0.31611  0.309005  1
5  23  0.33313 0.446133  0.343385  0.339477  2
6  0  0.640426 0.38665  0.0561274  -0.130058  1
6  1  0.662483 0.422263  0.0658724  -0.126652  1
6  2  0.738787 0.438637  0.0508858  -0.116548  0
6  3  0.783483 0.45111  0.0352691  -0.107077  1
6  4  0.863165 0.500558  0.00325071  -0.0548688  1
6  5  0.928118 0.518738  0.0021986  -0.0284622  2
6  6  0.917082 0.610971  0.00333464  -0.0254122  1
6  7  0.89128 0.624274  0.00199357  -0.0399761  0
6  8  0.899569 0.594311  0.00141669  -0.0325984  3
6  9  0 0  0  0  0
6  10  0 0  0  0  0
6  11  1.00374 1.04536  -0.00422567  0.0191827  0
6  12  1.00267 1.10367  -0.0107102  0.0199252  1
6  13  1.12732 1.35169  -0.0951907  0.0588974  0
6  14  1.51319 1.49592  -0.130238  0.13737  3
6  15  1.58998 1.59401  -0.145291  0.188923  3
6  16  1.19887 1.41982  -0.00483372  0.235205  5
6  17  1.25746 1.38504  0.159392  0.276958  0
6  18  0.863146 0.791552  0.147291  0.240639  1
6  19  0.844784 0.760023  0.138942  0.254724  3
6  20  0.748558 0.635  0.158443  0.281708  1
6  21  0 0  0  0  0
6  22  0.326344 0.444057  0.377938  0.237202  0
6  23  0.326344 0.444057  0.377938  0.237202  2
7  0  0.6351 0.43777  0.0936855  -0.127095  4
7  1  0.63688 0.428814  0.0726362  -0.130888  0
7  2  0.652188 0.439232  0.0662884  -0.131473  3
7  3  0.794024 0.489461  0.0344621  -0.082746  1
7  4  0.906835 0.5167  0.0127912  -0.0438715  0
7  5  0.930791 0.523373  0.00540347  -0.0282233  2
7  6  0.931153 0.630183  0.00182954  -0.0192776  0
7  7  0.940994 0.643909  -4.74247e-05  -0.0144468  2
7  8  0.95986 0.749211  0.00591983  0.0235987  0
7  9  0.969991 0.791608  0.00872725  0.0430322  0
7  10  0.958188 0.81594  0.00887609  0.0439887  0
7  11  1.00433 1.07429  0.00374369  0.0239492  0
7  12  1.03792 1.28848  0.0197452  0.041473  2
7  13  1.07271 1.41669  0.0204186  0.050264  2
7  14  1.40216 2.0429  -0.0486805  0.115968  1
7  15  1.46617 2.02622  -0.0291383  0.12228  7
7  16  1.41132 1.67803  0.0925793  0.19687  1
7  17  1.23787 1.3664  0.137227  0.267923  7
7  18  1.05764 1.09402  0.19346  0.145053  0
7  19  0.923526 0.88898  0.176156  0.146455  1
7  20  0 0  0  0  0
7  21  0 0  0  0  0
7  22  0.483859 0.466292  0.358124  0.118061  0
7  23  0.559122 0.482135  0.330275  0.0877137  1
8  0  0.618573 0.441511  0.100184  -0.1302  3
8  1  0.701928 0.475325  0.0822853  -0.122527  2
8  2  0.715398 0.495002  0.0620654  -0.125823  1
8  3  0.677409 0.522426  0.0487367  -0.149637  1
8  4  0.726447 0.525679  0.034776  -0.132666  3
8  5  0.87274 0.62547  0.00465665  -0.0650291  0
