0.21  0.84  0  0.52242  0.60371
0.13  0.01  0.265078  0.64308  0.31302
0.89  0.82  0.214579  0.841795  0.37307
0.99  0.9  0.280167  0.749271  0.30413
0.85  0.97  0.25604  0.778589  0.32661
0.16  0.98  0.245006  0.128768  0.39703
0.03  0.11  0.265111  0.635988  0.31392
0.52  0.11  0.163711  0.779134  0.56892
0.65  0.11  0.170037  0.815748  0.6111
0.77  0.26  0.145059  0.993645  0.90069
0.1  0.88  0.229992  0.211371  0.43736
0.01  0.14  0.262831  0.638457  0.31585
0.57  0.26  0.113575  1.06075  1.10965
0.43  0.34  0.104002  0.975949  0.81465
0.84  0.76  0.180992  0.892983  0.43071
0.62  0.39  0.0988697  1.04405  1.69957
0.2  0.5  0.133531  0.939332  0.7206
0.39  0.5  0.0941594  1.00936  1.05231
0.34  0.6  0.0973635  1.17075  1.85835
0.68  0.87  0.176032  0.832854  0.45562
0.31  0.56  0.105434  0.993811  1.33362
0  0.72  0.226675  0.152339  0.42474
0.2  0.91  0.210127  0.478539  0.48867
0.98  0.6  0.205141  0.778571  0.41008
0.94  0.89  0.256209  0.770729  0.32485
0.41  0.03  0.200923  0.656665  0.42172
0.01  0.15  0.260364  0.647638  0.31887
0.28  0.21  0.156425  0.982512  0.49178
0.8  0.31  0.144326  0.955158  0.88017
0.68  0.36  0.0964201  1.35968  1.7922
0.56  0.51  0.089701  1.01071  1.0108
0.73  0.65  0.128909  0.880488  0.61044
0.32  0.74  0.114742  1.18245  1.30782
0.56  0.5  0.0894753  1.01455  1.03074
0.91  0.14  0.219799  0.738963  0.4469
0.64  0.25  0.120946  1.09914  1.22057
0.36  0.33  0.114314  0.954992  0.68892
0.45  0.43  0.0931556  0.987228  0.93987
0.22  0.66  0.133084  0.989462  1.02694
0.3  0.65  0.109766  1.05586  1.83323
0.78  0.77  0.166214  0.900924  0.46366
0.47  0.44  0.0915632  0.992178  0.97659
0.88  0.83  0.214655  0.817713  0.37346
0.24  0.06  0.216458  0.714187  0.37293
0  0.93  0.26933  -0.313737  0.34391
0.84  0.79  0.189305  0.857211  0.41404
0.25  0.61  0.118093  1.04084  1.21079
0.79  0.82  0.183403  0.857127  0.42557
0.43  0.68  0.104019  1.02631  1.46133
0.99  0.97  0.304704  0.60197  0.28439
0.19  0.33  0.155788  0.831465  0.51223
0.37  0.65  0.0985502  1.17785  2.17576
0.64  0.78  0.140529  0.885556  0.56731
0.26  0.81  0.15988  0.820569  0.75665
0.4  0.63  0.0192743  2.43381  1.84025
0.83  0.83  0.198714  0.798288  0.39828
0.08  0.85  0.227429  0.273216  0.44191
0.88  0.86  0.22391  0.826801  0.36039
0.93  0.1  0.238639  0.634411  0.40334
0.54  0.27  0.112062  1.00582  1.03377
0.86  0.74  0.183148  0.853098  0.42921
0.63  0.41  0.0954694  1.10418  1.59379
0.95  0.01  0.272833  0.513583  0.34187
0.62  0.97  0.207184  0.67425  0.40872
0  0.45  0.212902  0.675842  0.40914
0.65  0.99  0.219673  0.709438  0.38414
0.98  0.84  0.256185  0.770704  0.32609
0.39  0.39  0.101962  0.96226  0.80563
0.25  0.62  0.116968  1.07883  1.23548
0.79  0.8  0.17799  0.831358  0.43776
0.43  0.56  0.091295  1.03042  1.24669
0.81  0.88  0.209913  0.751275  0.38227
0.87  0.03  0.243051  0.635943  0.39197
0.14  0.01  0.262257  0.651984  0.31604
0.89  0.82  0.214798  0.83209  0.37307
0.79  0.92  0.217935  0.7982  0.37067
0.81  0.01  0.236168  0.68064  0.40483
0.86  0.01  0.247726  0.608374  0.38256
0.86  0.8  0.199656  0.780261  0.39773
0.3  0.1  0.19021  0.701522  0.42395
0  0.86  0.25573  -0.143162  0.37369
0.84  0.01  0.24237  0.61003  0.39162
0.36  0.54  0.0963109  1.04696  1.27521
0.65  0.91  0.186229  0.787483  0.44111
0.47  0.69  0.104783  1.00741  1.12885
0.81  0.03  0.228562  0.666371  0.42238
0.64  0.05  0.192943  0.606429  0.50364
0.75  0.09  0.192903  0.784191  0.52807
0.65  0.05  0.193094  0.657986  0.50283
0.68  0.99  0.224229  0.716972  0.37392
0.58  0.96  0.197739  0.710078  0.43228
0.36  0.42  0.102708  0.962978  0.81594
0.25  0.58  0.117562  1.01679  1.11127
0.76  0.84  0.184429  0.700683  0.43029
0.38  0.64  0.0992499  1.11711  2.08208
0  0.32  0.228125  0.684014  0.36807
0.99  0.56  0.206003  0.749602  0.41597
0.73  0.93  0.208589  0.745279  0.39022
0.5  0.98  0.201257  0.591304  0.44161
0.32  0.21  0.148898  0.946871  0.52314
0.79  0.26  0.150852  0.966087  0.82646
0.65  0.36  0.102057  1.11932  1.9009
0.77  0.65  0.13886  0.860763  0.56934
0.3  0.72  0.111091  1.21855  1.39495
0.56  0.47  0.0899589  1.01617  1.10305
0.96  0.71  0.214175  0.811452  0.38151
0.15  0.77  0.183736  0.518039  0.61078
0.2  0.1  0.212199  0.734806  0.37687
0.17  0.18  0.197764  0.655519  0.40349
0.98  0.99  0.308311  0.548008  0.28168
0.59  0.2  0.133268  0.980724  0.87312
0.44  0.32  0.106762  0.963651  0.81247
0.6  0.31  0.106316  1.04607  1.55032
0.27  0.66  0.107124  1.22167  1.45957
0.83  0.73  0.170323  0.929142  0.45537
0.52  0.35  0.0978477  1.01582  1.12542
0.82  0.02  0.235023  0.649325  0.4088
0.94  0.19  0.217225  0.71286  0.45162
0.96  0.64  0.201786  0.815972  0.40945
0.96  0.38  0.195449  0.680397  0.48985
0.24  0.28  0.152295  0.779188  0.51531
0.73  0.3  0.121591  1.19066  1.2569
0.35  0.67  0.086982  1.45278  2.15866
0.69  0.73  0.136763  0.855059  0.5682
0.26  0.79  0.151374  0.923385  0.82495
0.53  0.49  0.0889522  1.0055  1.02966
0.76  0.92  0.210641  0.798675  0.38316
0.98  0.15  0.242026  0.633482  0.39454
